region,rainfall_mm,temperature_c,soil_index,market_distance_km,irrigated,farm_size_ha,high_risk
South,960.1,28.65,0.703,19.8,1,4.88,0
Central,465.4,29.13,0.754,59.3,0,4.85,0
East,630.6,25.19,0.629,35.3,1,2.46,1
South,443.6,29.51,0.797,26.8,0,2.05,1
North,503.4,27.82,0.455,35.5,0,1.54,1
East,525.5,23.98,0.483,27.4,0,1.61,0
South,461.4,27.02,0.534,44.9,0,1.5,1
South,462.2,31.37,0.824,11.9,0,3.45,0
North,598.4,32.19,0.883,44.7,1,2.34,0
Central,437.5,29.51,0.555,27.3,1,3.6,1
Central,746.3,24.17,0.643,60.2,0,3.73,0
East,482.3,28.87,0.485,70.5,1,1.37,0
South,1041.4,29.88,0.456,80.3,1,1.34,1
East,552.3,29.53,0.691,117.6,0,2.34,0
Central,630.8,29.7,0.834,78.5,1,1.64,1
North,425.7,28.52,0.728,58.9,1,1.53,1
South,875.9,27.3,0.499,13.3,1,8.18,0
North,787.9,25.8,0.546,3.7,0,1.0,0
East,664.5,22.19,0.429,64.2,1,10.12,0
South,418.0,28.45,0.703,17.3,1,3.28,1
South,651.6,28.02,0.679,169.0,0,5.16,0
Central,451.8,29.06,0.723,9.2,0,4.78,1
East,839.4,23.75,0.589,57.3,0,4.06,0
East,741.4,29.31,0.258,38.2,0,8.01,1
South,634.3,33.25,0.392,10.2,0,1.35,1
North,254.5,27.72,0.912,38.0,0,2.46,1
Central,472.5,27.33,0.667,19.0,1,1.56,0
North,723.2,28.37,0.74,31.4,1,0.9,0
North,801.9,33.19,0.713,31.8,0,1.77,0
South,786.4,24.63,0.57,19.2,0,9.18,0
South,381.2,28.07,0.846,25.6,0,2.43,0
East,665.2,25.26,0.677,17.8,0,9.87,0
Central,772.3,25.97,0.557,6.8,0,10.55,0
Central,371.2,27.36,0.926,35.9,0,19.05,0
Central,618.8,31.27,0.694,78.3,1,9.38,0
North,661.1,32.54,0.843,18.7,0,12.59,1
North,574.9,28.75,0.825,103.6,0,3.36,0
Central,342.2,26.45,0.525,117.3,1,3.15,1
North,571.1,34.48,0.593,24.0,0,3.29,1
South,570.9,26.3,0.925,28.4,0,2.72,0
Central,597.8,25.9,0.625,24.4,0,3.0,0
East,535.5,22.53,0.668,13.5,1,4.43,0
South,553.5,31.41,0.613,28.5,0,2.01,1
Central,614.0,30.21,0.768,26.2,1,1.11,0
East,686.4,34.27,0.604,35.4,0,3.44,1
South,574.3,23.61,0.853,36.8,1,1.73,0
Central,558.6,31.58,0.725,12.6,0,1.85,0
Central,633.9,27.7,0.757,50.0,1,2.48,1
South,331.9,29.76,0.789,28.3,1,2.13,0
North,691.6,22.89,0.676,14.8,0,5.59,0
North,619.9,31.61,0.625,27.8,1,2.44,0
North,626.0,29.7,0.359,37.8,1,5.78,0
South,764.1,27.39,0.843,87.7,0,3.11,0
South,327.1,29.31,0.82,78.9,1,2.57,1
South,323.9,25.36,0.941,22.5,0,3.01,0
South,661.1,25.88,0.736,29.7,0,1.17,1
Central,618.9,26.2,0.506,17.4,0,3.39,0
South,645.5,22.31,0.875,42.1,0,4.72,0
North,550.7,29.91,0.652,23.5,0,5.18,1
North,719.7,30.84,0.543,28.9,0,1.13,1
South,759.9,25.54,0.763,65.7,0,1.01,0
Central,692.6,28.47,0.462,12.6,0,1.92,1
South,580.9,26.76,0.763,79.0,0,6.69,0
South,303.8,28.42,0.623,44.9,0,3.14,0
South,735.4,25.74,0.86,76.6,1,1.64,0
South,803.3,25.03,0.777,55.1,1,1.06,0
South,716.7,30.45,0.331,61.9,0,1.74,1
Central,488.1,27.32,0.82,34.2,0,1.67,0
North,721.1,33.16,0.579,14.5,0,4.99,1
Central,749.1,27.63,0.964,21.3,0,5.25,0
North,853.8,24.91,0.612,18.2,0,1.37,0
Central,488.6,30.94,0.787,5.3,1,4.44,0
East,586.0,29.27,0.589,65.6,0,4.15,1
North,732.1,29.54,0.811,31.5,0,1.26,0
North,628.6,30.83,0.608,17.1,1,2.57,0
Central,452.4,25.67,0.93,114.4,0,3.39,1
Central,682.2,27.14,0.625,146.1,1,3.02,0
South,706.8,27.02,0.489,11.3,1,0.89,0
South,633.2,23.89,0.817,28.5,0,2.96,0
South,652.9,26.76,0.613,27.1,1,4.11,0
South,581.2,31.24,0.907,16.0,1,7.59,0
Central,841.7,28.16,0.794,64.6,0,1.76,0
South,484.9,23.73,0.813,5.4,0,1.91,0
North,531.9,23.14,0.744,96.2,1,2.37,0
North,621.6,32.16,0.861,35.2,0,3.28,0
North,751.8,27.25,0.717,108.4,0,2.9,0
South,395.4,25.69,0.663,33.2,0,4.03,1
Central,423.5,26.73,0.878,27.1,0,1.31,0
North,314.3,23.36,0.759,67.9,0,3.52,0
Central,624.9,31.48,0.717,108.0,1,1.68,0
North,452.3,26.4,0.47,97.0,0,2.48,1
South,562.3,31.33,0.763,7.9,0,8.25,1
Central,719.2,27.64,0.664,81.2,1,1.1,0
Central,523.8,31.5,0.259,26.1,0,2.27,0
Central,654.7,28.22,0.178,30.7,1,1.19,1
South,575.1,29.89,0.569,25.7,0,3.0,0
Central,720.8,29.51,0.296,21.2,0,5.37,1
North,691.3,29.25,0.668,28.7,0,3.04,0
North,516.2,28.47,0.569,15.5,1,2.52,0
East,594.7,26.85,0.556,81.5,1,6.45,1
East,776.6,32.86,0.738,54.6,0,3.37,1
South,679.0,24.96,0.378,40.0,0,4.63,0
Central,410.5,27.51,0.677,25.7,0,4.33,0
East,718.3,27.54,0.647,22.4,1,0.42,0
South,457.3,28.63,0.802,46.2,1,2.59,1
South,831.9,26.3,0.858,40.9,0,1.35,0
Central,773.6,28.38,0.836,71.1,1,1.59,0
Central,663.5,27.03,0.535,22.6,0,7.09,0
North,643.6,23.07,0.843,21.0,0,2.13,0
East,588.6,27.53,0.844,53.1,0,9.3,0
Central,721.8,24.42,0.238,60.8,0,1.09,1
North,564.4,22.64,0.677,139.2,0,1.34,0
Central,655.3,27.88,0.8,7.5,0,4.46,1
South,750.8,28.87,0.67,84.4,1,2.18,0
North,535.7,28.97,0.774,37.7,1,3.32,0
East,527.6,29.09,0.724,23.7,0,2.53,0
South,440.8,22.09,0.789,46.6,0,2.48,0
South,460.3,23.69,0.946,45.5,1,2.23,0
Central,345.7,33.03,0.828,24.2,0,3.05,1
South,729.5,24.57,0.498,8.1,1,4.12,0
South,891.3,29.21,0.513,84.6,0,7.76,1
South,833.8,25.58,0.779,19.6,0,2.38,0
North,376.1,27.72,0.459,17.3,1,2.1,0
Central,728.7,25.73,0.699,21.1,0,1.94,0
North,833.3,29.07,0.692,58.8,0,7.07,1
Central,551.5,27.88,0.441,26.4,0,4.26,1
Central,635.2,26.24,0.627,21.4,1,0.79,0
North,318.8,24.56,0.64,44.5,1,0.77,0
North,660.0,28.25,0.665,40.2,0,1.58,0
South,460.5,24.1,0.708,21.8,0,3.16,0
North,649.9,28.7,0.889,8.0,0,2.66,0
East,385.8,34.85,0.415,57.9,0,3.8,1
South,701.4,31.28,0.797,40.8,0,2.43,0
Central,773.7,29.51,0.711,5.6,0,6.74,0
South,502.5,27.26,0.655,92.5,0,4.49,0
North,449.5,22.07,0.595,5.4,0,2.86,0
East,296.6,23.8,0.725,18.4,0,5.72,0
Central,580.0,31.09,0.402,19.3,0,0.93,0
South,532.8,25.29,0.576,22.0,0,2.57,1
North,387.3,25.54,0.754,21.5,0,2.97,0
Central,688.0,27.04,0.733,12.2,0,4.02,0
Central,552.5,24.53,0.77,38.1,0,0.89,0
East,458.6,24.07,0.958,64.4,0,2.3,0
South,536.8,27.36,0.576,37.7,0,3.53,1
Central,780.7,25.0,0.777,42.3,0,3.71,0
Central,710.4,25.43,0.7,26.9,0,5.88,0
Central,600.5,25.31,0.945,36.7,0,4.46,0
Central,712.9,28.96,0.572,44.5,0,2.61,0
Central,445.9,26.85,0.618,54.6,0,4.22,0
North,624.9,27.0,0.455,20.2,0,2.38,0
East,642.1,29.17,0.842,18.2,0,2.99,0
East,549.5,27.1,0.385,3.7,0,4.56,0
North,685.3,26.72,0.912,109.9,1,2.64,0
South,502.9,28.82,0.629,105.5,0,3.44,0
North,696.5,29.37,0.453,32.4,1,5.08,0
South,702.8,27.09,0.738,33.7,0,4.32,0
Central,182.4,27.73,0.63,88.3,1,6.06,1
South,798.5,25.31,0.315,12.5,1,12.35,0
South,180.0,25.09,0.668,16.7,0,4.29,0
South,527.6,29.65,0.517,91.8,0,2.01,1
North,773.8,28.75,0.673,26.7,0,3.79,0
East,572.4,28.77,0.892,14.8,0,3.69,1
North,400.1,28.29,0.912,46.3,0,4.05,1
North,455.9,27.63,0.873,20.3,1,7.18,0
South,774.0,29.45,0.635,81.9,1,0.91,1
Central,331.8,30.12,0.701,36.5,1,7.27,1
East,789.3,30.05,0.481,20.9,1,9.05,0
South,611.7,27.22,0.721,21.8,1,3.93,0
Central,441.1,31.38,0.846,44.8,1,3.99,1
East,532.5,28.14,0.79,29.1,0,2.32,0
Central,467.4,29.27,0.953,26.4,1,2.73,0
Central,749.9,28.29,0.636,56.0,0,4.28,0
Central,729.9,28.19,0.861,89.1,0,4.1,1
East,362.1,25.44,0.541,50.9,0,4.34,0
North,559.5,29.46,0.824,19.0,0,4.09,0
North,490.5,35.47,0.75,14.1,1,4.87,1
Central,814.0,26.45,0.69,53.9,0,4.53,0
